,time,trackID,ERK_KTR,ndbErk,posx,posy,posz,meas.bin,ERK_KTR.resc,ERK_KTR.bin
3173,54,28,0.8913,0.0,20.1548731986219,0.0473155303971095,-2.73153590455268,0,0.0,0
3174,55,28,0.9046,0.0,20.0679004953546,-0.0370716357287146,-3.00777963612023,0,0.0,0
3175,56,28,0.9179,0.0,19.9809277920872,-0.121458801854539,-3.28402336768779,0,0.0,0
3176,57,28,1.0,0.0,19.6414497416628,-0.513413283566505,-4.000100792615,0,0.03080000000000005,0
3177,58,28,0.9949,0.0,19.4389440431413,-0.899485385547047,-4.14196899026915,0,0.032500000000000084,0
3178,59,28,0.9966,0.0,19.6612488428725,-0.755008305598813,-3.27882987652452,0,0.03080000000000005,0
3179,60,28,0.9549,0.0,19.9684838937254,-0.481009425189747,-2.96654097326657,0,0.032500000000000084,0
3180,61,28,1.0107,0.0,20.1757204100214,-0.201933006360536,-3.10025918916904,0,0.0,0
3181,62,28,0.8894,0.0,20.2287093385809,0.0399250806123633,-3.39681581929467,0,0.0,0
3182,63,28,0.94185,0.0,20.2547414037177,0.12266645113234,-3.52649506053621,0,0.0,0
3183,64,28,0.9943,0.0,20.2807734688546,0.205407821652317,-3.65617430177776,0,0.0,0
3184,65,28,0.9276,0.0,20.4919173122004,0.476725073936433,-3.33487531639963,0,0.03720000000000001,0
3185,66,28,0.9982,0.111111111111111,20.6706039602061,0.681501294785349,-2.84484216271952,0,0.0,0
3186,67,28,0.9381,0.222222222222222,20.6720634014144,0.842870810470171,-2.5904641435203,0,0.0,0
3187,68,28,0.9211,0.333333333333333,20.7424348194992,0.951338661126073,-2.6029471225376,1,0.0,0
3188,69,28,0.887,0.444444444444444,20.867710839072,0.968332294970902,-2.7622022312487,1,0.0,0
3189,70,28,0.9595,0.555555555555556,20.8198089507157,0.88143581103508,-2.93879743187623,1,0.0,0
3190,71,28,0.9203,0.666666666666667,20.7509389557476,0.580809957576898,-3.11212018082073,1,0.0,0
3191,72,28,0.9222,0.777777777777778,20.7471553490237,0.454632696096158,-3.21800257480174,1,0.0,0
3192,73,28,1.0155,0.888888888888889,20.5463563410918,0.758080181650685,-3.25585969264817,1,0.06580000000000008,0
3193,74,28,1.0474,1.0,20.0999335488687,1.10281335083898,-3.25555371668532,1,0.06620000000000004,0
3194,75,28,0.9598,0.991024673,19.7392283515956,1.05243139951984,-3.43132647130142,1,0.09810000000000008,0
3195,76,28,1.0808,0.982049346,19.7292421002179,0.857062678465539,-3.81389791539494,1,0.10929999999999995,1
3196,77,28,1.0586,0.817501843,19.9887014053651,0.946784871013723,-4.03506264393441,1,0.13149999999999995,1
3197,78,28,1.0979,0.612316111666667,20.2977340126193,1.20707723377735,-3.95273877947799,1,0.10929999999999995,1
3198,79,28,0.8899,0.407130380333333,20.5557312506106,1.30682243858803,-3.77685758552556,1,0.0363,0
3199,80,28,0.9856,0.201944649,20.7839778910119,1.19220252548485,-3.78276180838991,0,0.005699999999999927,0
3200,81,28,0.955,0.2040014935,21.0367779849529,1.19267687466833,-3.9748906832151,0,0.0363,0
3201,82,28,1.0207,0.206058338,21.3058081366423,1.53232176321426,-4.13096339385854,0,0.025399999999999978,0
3202,83,28,0.9747,0.422587872,21.4729640278402,1.90898615377992,-4.19783364185372,1,0.055399999999999894,0
3203,84,28,1.0047,0.198204935,21.4833216968452,2.22283564225338,-4.20253992177335,0,0.025399999999999978,0
3204,85,28,0.9611,0.132884566333333,21.4826133969533,2.43743592885546,-4.00758539975545,0,0.05679999999999996,0
3205,86,28,1.0437,0.0675641976666667,21.5960514750299,2.52568605663613,-3.63153837987151,0,0.013899999999999912,0
3206,87,28,0.9424,0.002243829,21.7747119677656,2.5197545829666,-3.53067753341801,0,0.008599999999999941,0
3207,88,28,0.951,0.0,21.9320203924413,2.44171466782997,-3.76739107204781,0,0.0,0
3208,89,28,0.8984,0.0,21.9018440880285,2.49128981884086,-4.0764506119168,0,0.0,0
3209,90,28,0.8893,0.0,21.8843555990955,2.67949561034626,-4.2665902456926,0,0.0,0
3210,91,28,0.9574,0.054599851,22.046855741625,2.7669740368555,-4.42704546439687,0,0.011599999999999944,0
3211,92,28,0.9497,0.09723261,22.2046507221653,2.85481687820241,-4.55406132539642,0,0.017299999999999982,0
3212,93,28,0.9554,0.054599851,22.31614975423,3.26569010933722,-4.20177546216844,0,0.01990000000000003,0
3213,94,28,0.9281,0.08825729,22.4187728361857,3.76763045334977,-3.67083841642705,0,0.011800000000000033,0
3214,95,28,0.9542,0.033657443,22.4862237780562,4.05426243220078,-3.44194527675805,0,0.0020999999999999908,0
3215,96,28,0.9493,0.013089005,22.4822308647618,4.19328096652528,-3.37242865987161,0,0.0014000000000000679,0
3216,97,28,0.9479,0.009349289,22.4622341192525,4.33795038168577,-3.2826795401318,0,0.0,0
3217,98,28,0.9541,0.0,22.5411708745991,4.53951177191707,-3.18465515608322,0,0.0,0
3218,99,28,0.8955,0.0,22.7242467977149,4.71372823384612,-3.09653360182613,0,0.0,0
3219,100,28,0.9472,0.0,22.8932998654323,4.82966722298168,-2.99548039713168,0,0.0,0
3220,101,28,0.9105,0.0,22.8848231211022,4.92906242241307,-2.94343211975445,0,0.0,0
3221,102,28,0.9153,0.0,22.7987039449585,5.04273828307574,-3.01162715133424,0,0.0,0
3222,103,28,0.91,0.0,22.8329595772597,5.17491148633694,-3.08901940844553,0,0.0,0
3223,104,28,0.9298,0.0,22.9253472524877,5.19409640476415,-3.11535825701377,0,0.0,0
3224,105,28,0.9136,0.0,23.0357150576719,5.01500961896941,-3.09468345776341,0,0.0,0
3225,106,28,0.937,0.0,23.1284306837393,4.77952200785986,-2.90969009438378,0,0.0,0
3226,107,28,0.8683,0.0,23.1850519223969,4.51818550157506,-2.51611361732033,0,0.0,0
3227,108,28,0.9066,0.0,23.2558876400398,4.2479766419254,-2.0114776875442,0,0.0,0
3228,109,28,0.9293,0.0,23.2991800169861,4.03522413514547,-1.56716075074339,0,0.006099999999999994,0
3229,110,28,0.9214,0.0,23.2815645969401,3.86977172072777,-1.34554286131637,0,0.007800000000000029,0
3230,111,28,0.8769,0.0,23.3076861261261,3.81970945698404,-1.16266766074523,0,0.0,0
3231,112,28,0.9022,0.0,23.4018482365018,3.86862321391546,-0.793269635189684,0,0.0,0
3232,113,28,0.8733,0.0,23.4868235688482,3.81481502637114,-0.384389387257933,0,0.0,0
3233,114,28,0.8807,0.0,23.5355842390852,3.59618194295792,-0.118705177782945,0,0.0,0
3234,115,28,0.8824,0.0,23.5613623353352,3.37545929261962,0.129808730735642,0,0.0,0
3235,116,28,0.9378,0.0,23.5455767275335,3.19098645582383,0.468573984157362,0,0.0,0
3236,117,28,0.8993,0.0,23.4555292298194,2.94167330908792,0.79020146076785,0,0.0,0
3237,118,28,0.9074,0.0,23.2554190358604,2.72230199383997,1.12032748414374,0,0.0008000000000000229,0
3238,119,28,0.9655,0.352655202,22.9270473420164,2.60881116267677,1.53249470875129,1,0.05890000000000006,0
3239,120,28,0.9708,0.415108442,22.6468344163617,2.52639883867047,1.99568840096675,1,0.0686,0
3240,121,28,0.9883,0.545998514,22.4833828310714,2.40931923116126,2.4773149807239,1,0.08899999999999997,0
3241,122,28,0.994,0.545998514,22.3010834193066,2.22445737252881,2.8870440456507,1,0.1059,1
3242,123,28,0.9785,0.47905758,22.1159209046094,1.98178218804051,3.18878194419907,1,0.0978,0
3243,124,28,0.9407,0.45848915,22.0377331986463,1.71392170407788,3.38071172051837,1,0.09419999999999995,0
3244,125,28,0.9749,0.202692598,22.0522069190785,1.52627652709092,3.47910491091206,0,0.06379999999999997,0
3245,1,29,0.7685,0.0,-14.8138987936196,15.001260126625,3.6944855374818,0,0.0,0
3246,2,29,0.7864,0.0,-14.6638931394641,14.7488143099213,3.89131698676408,0,0.0,0
3247,3,29,0.7703,0.0,-14.4978264838216,14.5085950433158,3.44840246978375,0,0.005501481168006636,0
3248,4,29,0.7867,0.0,-14.3515626734958,14.3030379949116,2.961711858012,0,0.004655099449851841,0
3249,5,29,0.7898,0.0,-14.2183845006006,14.0898043177677,2.84365214929571,0,0.004655099449851841,0
3250,6,29,0.7851,0.0,-14.0695304659101,13.9420904702687,2.84544402845262,0,0.01438848920863292,0
3251,7,29,0.7926,0.0,-13.9117083427714,13.9210875178067,2.88392942886525,0,0.0,0
3252,8,29,0.7768,0.0,-13.8091927869051,13.9330847457909,2.93875723552004,0,0.006771053745239298,0
3253,9,29,0.7883,0.0,-13.8249435339333,13.8865110475454,2.91204220290149,0,0.0,0
3254,10,29,0.8025,0.0,-13.9517430189062,13.8212327972419,2.84133797545815,0,0.026661024121878856,0
3255,11,29,0.7946,0.0,-14.1167770726878,13.808852565066,2.78892534822667,0,0.03427845958527342,0
3256,12,29,0.7979,0.0,-14.2201620929923,13.8556965548393,2.7554347264183,0,0.013965298349555524,0
3257,13,29,0.7647,0.0,-14.1961660463876,13.9032548075179,2.7568658821149,0,0.0,0
3258,14,29,0.7856,0.0,-14.0970779090223,13.8768544977332,2.79713548176142,0,0.0,0
3259,15,29,0.7923,0.0,-13.9865774123764,13.8325584963563,2.84054549726626,0,0.0,0
3260,16,29,0.7913,0.0,-13.8969097825662,13.8328259874173,2.82786422638456,0,0.0,0
3261,17,29,0.7965,0.0,-13.8589334645709,13.8496865919396,2.73543676173225,0,0.0,0
3262,18,29,0.7936,0.0,-13.8749320355173,13.8557508198471,2.64199581007905,0,0.0,0
3263,19,29,0.7986,0.0,-13.9055288958676,13.8324884019927,2.59778331983787,0,0.0,0
3264,20,29,0.7986,0.0,-13.9052035373957,13.7865063750576,2.55297286150742,0,0.0,0
3265,21,29,0.8101,0.009833262,-13.8644722935418,13.6962300723646,2.53997453102748,0,0.03046974185357637,0
3266,22,29,0.8128,0.021376656,-13.8246567158095,13.5828058902644,2.5884985245373,0,0.04189589504866704,0
3267,23,29,0.8193,0.021376656,-13.822872110763,13.4971941523747,2.64764538367057,0,0.02115954295387222,0
3268,24,29,0.8124,0.019666525,-13.8313965005001,13.4424878258847,2.66084081528255,0,0.019466779517562628,0
3269,25,29,0.8029,0.0,-13.8042389013975,13.3960612396344,2.62190259410953,0,0.0,0
3270,26,29,0.8021,0.0,-13.7515492348826,13.3091770531972,2.57445926307581,0,0.0,0
